Simulation Result,FailureByNodeLimitExceeded

,Leg State Bit,Is Grounded, , , , , , Discretized Leg Pos, , , , , , Discretized Com Pos,Center of Mass[mm], , ,Quaternion, , , ,Leg Pos 0[mm], , ,Leg Pos 1[mm], , ,Leg Pos 2[mm], , ,Leg Pos 3[mm], , ,Leg Pos 4[mm], , ,Leg Pos 5[mm], , , Reference Pos 0[mm],,,Reference Pos 1[mm],,,Reference Pos 2[mm],,,Reference Pos 3[mm],,,Reference Pos 4[mm],,,Reference Pos 5[mm],,,Next Move,Time[milli sec],Graph Search Result
,,leg0,leg1,leg2,leg3,leg4,leg5,leg0,leg1,leg2,leg3,leg4,leg5,,x,y,z,w,v-x,v-y,v-z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,,,
0,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   383.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegHierarchyChange,     0.000,Success,,
1,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   383.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,LegUpDown,     6.288,Success,,
2,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   383.000,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,   113.137,  -113.137,   -30.000,    -0.000,  -160.000,   -30.000,  -113.137,  -113.137,   -30.000,  -113.137,   113.137,   -30.000,    -0.000,   160.000,   -30.000,   113.137,   113.137,   -30.000,ComUpDown,    90.793,Success,,
3,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   398.180,     1.000,     0.000,     0.000,     0.000,   113.137,  -113.137,   -45.180,    -0.000,  -160.000,   -45.180,  -113.137,  -113.137,   -45.180,  -113.137,   113.137,   -45.180,    -0.000,   160.000,   -45.180,   113.137,   113.137,   -45.180,   113.137,  -113.137,   -45.180,    -0.000,  -160.000,   -45.180,  -113.137,  -113.137,   -45.180,  -113.137,   113.137,   -45.180,    -0.000,   160.000,   -45.180,   113.137,   113.137,   -45.180,BodyYawRot,     2.381,Success,,
4,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   398.180,     0.985,     0.000,     0.000,     0.174,    39.398,  -183.057,   -45.180,   -90.088,  -144.115,   -45.180,  -158.515,   -22.214,   -45.180,   -39.398,   183.057,   -45.180,    90.088,   144.115,   -45.180,   158.515,    22.214,   -45.180,    39.398,  -183.057,   -45.180,   -90.088,  -144.115,   -45.180,  -158.515,   -22.214,   -45.180,   -39.398,   183.057,   -45.180,    90.088,   144.115,   -45.180,   158.515,    22.214,   -45.180,LegHierarchyChange,     2.178,Success,,
5,'1000110011001100110011001100,true,true,true,true,true,true,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   398.180,     0.985,     0.000,     0.000,     0.174,    39.398,  -183.057,   -45.180,   -90.088,  -144.115,   -45.180,  -158.515,   -22.214,   -45.180,   -39.398,   183.057,   -45.180,    90.088,   144.115,   -45.180,   158.515,    22.214,   -45.180,    39.398,  -183.057,   -45.180,   -90.088,  -144.115,   -45.180,  -158.515,   -22.214,   -45.180,   -39.398,   183.057,   -45.180,    90.088,   144.115,   -45.180,   158.515,    22.214,   -45.180,LegUpDown,     2.711,Success,,
6,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   398.180,     0.985,     0.000,     0.000,     0.174,    39.398,  -183.057,   -45.180,   -90.088,  -144.115,   -45.180,  -158.515,   -22.214,   -20.000,   -39.398,   183.057,   -45.180,    90.088,   144.115,   -45.180,   158.515,    22.214,   -20.000,    39.398,  -183.057,   -45.180,   -90.088,  -144.115,   -45.180,  -113.137,  -113.137,   -45.180,   -39.398,   183.057,   -45.180,    90.088,   144.115,   -45.180,   113.137,   113.137,   -45.180,ComUpDown,    48.536,Success,,
7,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   398.180,     0.985,     0.000,     0.000,     0.174,    39.398,  -183.057,   -45.180,   -90.088,  -144.115,   -45.180,  -158.515,   -22.214,   -20.000,   -39.398,   183.057,   -45.180,    90.088,   144.115,   -45.180,   158.515,    22.214,   -20.000,    39.398,  -183.057,   -45.180,   -90.088,  -144.115,   -45.180,  -113.137,  -113.137,   -45.180,   -39.398,   183.057,   -45.180,    90.088,   144.115,   -45.180,   113.137,   113.137,   -45.180,BodyYawRot,   154.000,Success,,
8,'1000010011001100010011001100,true,true,false,true,true,false,Center,Center,Center,Center,Center,Center,CenterBack,     0.000,     0.000,   398.180,     0.978,     0.000,     0.000,     0.208,    21.980,  -193.721,   -45.180,  -107.134,  -137.228,   -45.180,  -158.515,   -22.214,   -20.000,   -21.980,   193.721,   -45.180,   107.134,   137.228,   -45.180,   158.515,    22.214,   -20.000,    21.980,  -193.721,   -45.180,  -107.134,  -137.228,   -45.180,  -113.137,  -113.137,   -45.180,   -21.980,   193.721,   -45.180,   107.134,   137.228,   -45.180,   113.137,   113.137,   -45.180,LegHierarchyChange,    32.841,Success,,
9,'1000001111001100011111001100,true,true,false,true,true,false,Center,Center,UpperFront,Center,Center,UpperBack,CenterBack,     0.000,     0.000,   398.180,     0.978,     0.000,     0.000,     0.208,    21.980,  -193.721,   -45.180,  -107.134,  -137.228,   -45.180,  -158.515,   -22.214,   -20.000,   -21.980,   193.721,   -45.180,   107.134,   137.228,   -45.180,   158.515,    22.214,   -20.000,    21.980,  -193.721,   -45.180,  -107.134,  -137.228,   -45.180,  -113.137,  -113.137,   -45.180,   -21.980,   193.721,   -45.180,   107.134,   137.228,   -45.180,   113.137,   113.137,   -45.180,LegUpDown,    52.482,Success,,
10,'1000101111000100111111000100,false,true,true,false,true,true,Center,Center,UpperFront,Center,Center,UpperBack,CenterBack,     0.000,     0.000,   398.180,     0.978,     0.000,     0.000,     0.208,    21.980,  -193.721,   -20.000,  -107.134,  -137.228,   -45.180,   -46.699,  -170.389,  -147.424,   -21.980,   193.721,   -20.000,   107.134,   137.228,   -45.180,    36.563,   196.794,  -120.629,   113.137,  -113.137,   -45.180,  -107.134,  -137.228,   -45.180,   -46.699,  -170.389,  -147.424,  -113.137,   113.137,   -45.180,   107.134,   137.228,   -45.180,    36.563,   196.794,  -120.629,ComUpDown,     8.263,Success,,
11,'1000101111000100111111000100,false,true,true,false,true,true,Center,Center,UpperFront,Center,Center,UpperBack,CenterBack,     0.000,     0.000,   375.381,     0.978,     0.000,     0.000,     0.208,    21.980,  -193.721,   -20.000,  -107.134,  -137.228,   -22.381,   -46.699,  -170.389,  -124.625,   -21.980,   193.721,   -20.000,   107.134,   137.228,   -22.381,    36.563,   196.794,   -97.830,   113.137,  -113.137,   -22.381,  -107.134,  -137.228,   -22.381,   -46.699,  -170.389,  -124.625,  -113.137,   113.137,   -22.381,   107.134,   137.228,   -22.381,    36.563,   196.794,   -97.830,BodyYawRot,    14.245,Success,,
12,'1000101111000100111111000100,false,true,true,false,true,true,Center,Center,UpperFront,Center,Center,UpperBack,CenterBack,     0.000,     0.000,   375.381,     0.978,     0.000,     0.000,     0.208,    21.980,  -193.721,   -20.000,  -107.134,  -137.228,   -22.381,   -46.699,  -170.389,  -124.625,   -21.980,   193.721,   -20.000,   107.134,   137.228,   -22.381,    36.563,   196.794,   -97.830,   113.137,  -113.137,   -22.381,  -107.134,  -137.228,   -22.381,   -46.699,  -170.389,  -124.625,  -113.137,   113.137,   -22.381,   107.134,   137.228,   -22.381,    36.563,   196.794,   -97.830,LegHierarchyChange,     4.639,Success,,
13,'1000101111000101111111000011,false,true,true,false,true,true,UpperBack,Center,UpperFront,LowerFront,Center,UpperBack,CenterBack,     0.000,     0.000,   375.381,     0.978,     0.000,     0.000,     0.208,    21.980,  -193.721,   -20.000,  -107.134,  -137.228,   -22.381,   -46.699,  -170.389,  -124.625,   -21.980,   193.721,   -20.000,   107.134,   137.228,   -22.381,    36.563,   196.794,   -97.830,   113.137,  -113.137,   -22.381,  -107.134,  -137.228,   -22.381,   -46.699,  -170.389,  -124.625,  -113.137,   113.137,   -22.381,   107.134,   137.228,   -22.381,    36.563,   196.794,   -97.830,LegUpDown,    12.023,Success,,
